CUFSM CLI Analysis Results
==========================

MODEL
Material columns: material_id Ex Ey nu_x nu_y G
material_id,Ex,Ey,nu_x,nu_y,G
100,29500,29500,0.3,0.3,11346.15

Node columns: node_id x z dof_x dof_z dof_y dof_rotation stress
node_id,x,z,dof_x,dof_z,dof_y,dof_rotation,stress
1,5,1,1,1,1,1,50
2,5,0.5,1,1,1,1,50
3,5,0,1,1,1,1,50
4,3.75,0,1,1,1,1,50
5,2.5,0,1,1,1,1,50
6,1.25,0,1,1,1,1,50
7,0,0,1,1,1,1,50
8,0,1.5,1,1,1,1,50
9,0,3,1,1,1,1,50
10,0,4.5,1,1,1,1,50
11,0,6,1,1,1,1,50
12,0,7.5,1,1,1,1,50
13,0,9,1,1,1,1,50
14,1.25,9,1,1,1,1,50
15,2.5,9,1,1,1,1,50
16,3.75,9,1,1,1,1,50
17,5,9,1,1,1,1,50
18,5,8.5,1,1,1,1,50
19,5,8,1,1,1,1,50

Element columns: element_id node_i node_j thickness material_id
element_id,node_i,node_j,thickness,material_id
1,1,2,0.1,100
2,2,3,0.1,100
3,3,4,0.1,100
4,4,5,0.1,100
5,5,6,0.1,100
6,6,7,0.1,100
7,7,8,0.1,100
8,8,9,0.1,100
9,9,10,0.1,100
10,10,11,0.1,100
11,11,12,0.1,100
12,12,13,0.1,100
13,13,14,0.1,100
14,14,15,0.1,100
15,15,16,0.1,100
16,16,17,0.1,100
17,17,18,0.1,100
18,18,19,0.1,100

ANALYSIS SETTINGS
boundary_condition,S-S
number_of_lengths,101
minimum_length,1
maximum_length,1000
requested_eigenmodes,10
member_lengths,120
springs_defined,0
constraints_defined,0
cfsm_active,0

SIGNATURE CURVE
half_wavelength,lowest_eigenvalue
2.47707635599,1.02425395663,0.334386904399,0.0823159063843,99.2938688855,0.289428303713,local
2.65608778295,0.913349213959,0.314309641579,0.0959230465935,99.3201919634,0.269575348468,local
2.84803586844,0.817464142099,0.296811551616,0.112690173252,99.3388418674,0.251656407779,local
3.05385550883,0.734714940725,0.281743199053,0.133323403404,99.3494074319,0.235525965672,local
3.27454916288,0.663473342529,0.268978123847,0.158675615249,99.3512843826,0.221061878317,local
3.51119173422,0.602334827945,0.258413855066,0.189782865389,99.3436383413,0.208164938285,local
3.76493580679,0.550091189741,0.249972985458,0.227913867615,99.3253564115,0.196756735429,local
4.0370172586,0.505706910374,0.243604354199,0.274636590167,99.2949831913,0.186775864296,local
4.32876128108,0.468298889173,0.239284462912,0.331906762337,99.2506358616,0.178172913132,local
4.64158883361,0.437119120058,0.237019307724,0.402184140918,99.1898916118,0.170904939512,local
4.97702356433,0.411539973282,0.236846847922,0.488584045296,99.1096388851,0.164930221645,local
5.33669923121,0.391041776438,0.238840355155,0.595074211926,99.0058814599,0.16020397299,local
5.72236765935,0.375202419364,0.243112899876,0.726730704421,98.8734809171,0.156675478626,local
6.13590727341,0.363688723225,0.249823228616,0.890071686471,98.705818254,0.154286830869,local
6.57933224658,0.356249312981,0.259183250578,1.09349459791,98.494348985,0.152973166511,local
7.05480231072,0.352708709855,0.271467257723,1.34785106247,98.2280176121,0.152664067707,local
7.56463327555,0.35296230727,0.287022810075,1.66720528434,97.8924863103,0.153285595308,local
8.1113083079,0.356971794114,0.30628286715,2.06983656774,97.4691182758,0.154762289295,local
8.69749002618,0.364760414889,0.329778131496,2.57956586825,96.9336375929,0.157018407312,local
